dataset,p,T_seq_ms,T_par_ms,speedup,efficiency
small,1,884.520,897.898,0.985,0.985
small,2,884.520,883.814,1.001,0.500
small,4,884.520,870.643,1.016,0.254
small,8,884.520,1010.494,0.875,0.109
medium,1,40618.474,12910.211,3.147,3.147
medium,2,40618.474,11577.473,3.508,1.754
medium,4,40618.474,11059.900,3.673,0.918
medium,8,40618.474,11532.493,3.521,0.440
large,1,109642.952,33592.797,3.264,3.264
large,2,109642.952,30052.506,3.648,1.824
large,4,109642.952,28099.648,3.902,0.975
large,8,109642.952,29787.271,3.681,0.460
