dataset,p,T_seq_ms,T_par_ms,speedup,efficiency,f_estimate
small,1,933.658,720.653,1.296,1.296,
small,2,933.658,615.942,1.516,0.758,0.681
small,4,933.658,609.108,1.533,0.383,0.464
small,8,933.658,606.777,1.539,0.192,0.400
medium,1,40364.462,25680.589,1.572,1.572,
medium,2,40364.462,21589.869,1.869,0.934,0.930
medium,4,40364.462,20794.213,1.942,0.486,0.647
medium,8,40364.462,20263.503,1.993,0.249,0.570
large,1,116796.815,65741.771,1.777,1.777,
large,2,116796.815,56194.473,2.078,1.039,1.038
large,4,116796.815,54825.613,2.129,0.532,0.707
large,8,116796.815,54260.632,2.153,0.269,0.612
